Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-20 13:30:00+00:00,259.5050048828125,215.3300018310547,256.5950012207031,516.47998046875,1224.75,259.8699951171875,215.3699951171875,256.8699951171875,516.9099731445312,1226.239990234375,255.6300048828125,213.58999633789062,254.60000610351562,513.4400024414062,1206.9000244140625,255.88499450683594,213.8000030517578,255.16000366210938,514.635009765625,1207.875,19526731,8658353,3376052,2698905,1115449
2025-10-20 14:30:00+00:00,262.57000732421875,214.64999389648438,256.8699951171875,517.2423706054688,1233.93701171875,263.54998779296875,215.66000366210938,257.04998779296875,518.7000122070312,1234.300048828125,259.07000732421875,214.55999755859375,255.97999572753906,515.97998046875,1223.530029296875,259.489990234375,215.33999633789062,256.5950012207031,516.469970703125,1225.3399658203125,20690049,4483248,1417687,1615533,452425
2025-10-20 15:30:00+00:00,263.489990234375,214.8800048828125,256.8599853515625,516.5700073242188,1235.52001953125,264.375,215.1909942626953,257.8699951171875,517.8035888671875,1236.5,262.4175109863281,214.49000549316406,256.6400146484375,516.2999877929688,1231.449951171875,262.54998779296875,214.65499877929688,256.8900146484375,517.280029296875,1234.2327880859375,13764809,2935631,1229691,1004947,353208
2025-10-20 16:30:00+00:00,263.1650085449219,215.7100067138672,256.75,517.5650024414062,1240.9957275390625,264.2099914550781,216.0500030517578,257.5199890136719,517.7899780273438,1241.449951171875,262.6499938964844,214.67999267578125,256.6476135253906,516.0399780273438,1234.820068359375,263.4800109863281,214.8699951171875,256.8500061035156,516.5999755859375,1235.75,8089517,2596339,936526,819523,301028
2025-10-20 17:30:00+00:00,263.7300109863281,215.72000122070312,256.7300109863281,517.6400146484375,1245.1710205078125,263.8299865722656,216.14999389648438,257.0899963378906,518.0899047851562,1247.760009765625,262.7900085449219,215.52999877929688,256.3800048828125,517.4299926757812,1240.47998046875,263.17999267578125,215.6811065673828,256.760009765625,517.5700073242188,1241.364013671875,4756799,2303812,611303,883236,389727
2025-10-20 18:30:00+00:00,263.4200134277344,216.35499572753906,256.9700012207031,516.344970703125,1239.93603515625,263.80999755859375,216.60800170898438,257.5199890136719,517.6599731445312,1245.25,263.0400085449219,215.66000366210938,256.4949951171875,515.7000122070312,1237.0400390625,263.739990234375,215.72000122070312,256.760009765625,517.5800170898438,1245.2379150390625,5423277,3054110,1119155,1199478,383346
2025-10-20 19:30:00+00:00,262.2300109863281,216.47000122070312,257.0799865722656,516.8300170898438,1238.97998046875,263.8500061035156,216.64999389648438,257.56170654296875,517.1099853515625,1241.68505859375,261.92999267578125,216.22999572753906,256.8389892578125,516.0076904296875,1237.0,263.44000244140625,216.36000061035156,256.95001220703125,516.3599853515625,1239.9849853515625,8021467,3035312,1356575,1402918,383592
2025-10-21 13:30:00+00:00,263.4999084472656,221.72000122070312,252.4781951904297,514.85498046875,1238.1800537109375,265.2900085449219,222.23989868164062,255.3300018310547,518.6900024414062,1248.599853515625,261.8800048828125,218.0,252.0,514.75,1231.7750244140625,261.8800048828125,218.40499877929688,255.3300018310547,517.760009765625,1242.0,17003580,14973073,3890195,2982387,1122008
