Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX,AAPL,AMZN,GOOG,MSFT,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05 14:30:00+00:00,269.0101013183594,248.60000610351562,283.7087097167969,514.25,1086.5450439453125,269.58990478515625,249.24000549316406,285.41180419921875,514.8300170898438,1088.3599853515625,266.92999267578125,246.16000366210938,277.8800048828125,511.1099853515625,1073.3701171875,268.5899963378906,248.80499267578125,279.3800048828125,513.3200073242188,1084.93994140625,7995553,6485371,3637033,2532951,638609
2025-11-05 15:30:00+00:00,270.2900085449219,249.10000610351562,283.9800109863281,510.1000061035156,1089.074951171875,270.3800048828125,249.17999267578125,284.82501220703125,514.3150024414062,1090.199951171875,268.760009765625,247.71099853515625,282.6600036621094,508.760009765625,1084.104248046875,268.989990234375,248.58999633789062,283.69500732421875,514.280029296875,1086.3900146484375,2169435,2756468,1199056,1818451,223480
2025-11-05 16:30:00+00:00,269.9700012207031,249.80999755859375,283.5299987792969,508.7300109863281,1097.364990234375,270.4700012207031,249.85000610351562,285.30499267578125,510.1000061035156,1100.8199462890625,269.5,248.67999267578125,283.32501220703125,508.2200012207031,1085.0999755859375,270.2799987792969,249.08999633789062,284.0,510.04998779296875,1089.1199951171875,1631841,2535880,1146936,1649556,402528
2025-11-05 17:30:00+00:00,270.1199951171875,249.97000122070312,283.864013671875,508.8450012207031,1092.6600341796875,270.7900085449219,251.0,283.9547119140625,509.6300048828125,1099.6099853515625,269.92999267578125,249.4949951171875,283.1099853515625,508.2681884765625,1089.6500244140625,269.9700012207031,249.8000030517578,283.5799865722656,508.7598876953125,1097.364990234375,1426592,2539301,816093,1161479,215834
2025-11-05 18:30:00+00:00,270.42999267578125,249.12060546875,284.4200134277344,508.42999267578125,1093.2015380859375,271.70001220703125,250.68499755859375,286.67999267578125,509.55999755859375,1096.1800537109375,269.7699890136719,249.10000610351562,283.3294982910156,507.7793884277344,1092.0999755859375,270.1099853515625,249.9600067138672,283.885009765625,508.8399963378906,1092.5,2651761,1955108,1827084,1249553,151367
2025-11-05 19:30:00+00:00,269.6000061035156,248.44000244140625,284.4100036621094,507.80499267578125,1093.9595947265625,271.5,249.52499389648438,284.81939697265625,508.4599914550781,1095.4698486328125,269.5299987792969,248.41000366210938,283.4599914550781,507.5400085449219,1091.3189697265625,270.4100036621094,249.11000061035156,284.3900146484375,508.4117126464844,1093.155029296875,2282746,2222542,1022565,1484425,165530
2025-11-05 20:30:00+00:00,270.1099853515625,250.24000549316406,284.7799987792969,506.989990234375,1098.4599609375,270.3999938964844,250.85000610351562,285.3900146484375,508.1499938964844,1099.5,268.9949951171875,248.39089965820312,284.385009765625,506.6050109863281,1093.5,269.6099853515625,248.44000244140625,284.42999267578125,507.82000732421875,1093.8299560546875,3567904,3985436,1536190,2456430,286006
2025-11-06 14:30:00+00:00,272.82000732421875,247.1595001220703,285.2099914550781,501.2650146484375,1093.06396484375,272.82000732421875,250.3800048828125,288.80999755859375,505.70001220703125,1099.0050048828125,267.8900146484375,246.5800018310547,284.2699890136719,498.5,1085.75,267.8900146484375,249.22000122070312,285.7349853515625,505.3599853515625,1095.1400146484375,6762187,7131629,4960015,4315178,499328
